,Unnamed: 0.1,Unnamed: 0,id_account,client_id,in_default,balance,housing,loan,contact,id_campaign,account_id,day,month,duration,campaign,pdays,previous,id_account.1,age,job,marital,education,monthly_income,id_outcome,campaign_id,poutcome,y,prediction,prob_0,prob_1,expected_revenue
1,43175,43175,43176,9998701,no,1113,no,no,cellular,43176,43176,2,mar,229,1,182,1,9998701,37,management,married,tertiary,5422.263480590178,43176,43176,success,unknown,1,0.0,1.0,5422.263480590178
24,39796,39796,39797,1558091,no,1352,no,no,cellular,39797,39797,1,jun,93,1,347,1,1558091,37,management,married,tertiary,4729.841142469041,39797,39797,success,unknown,1,0.0,1.0,4729.841142469041
44,44635,44635,44636,6411987,no,1113,no,no,cellular,44636,44636,1,sep,265,2,183,2,6411987,37,management,married,tertiary,4473.643406282875,44636,44636,success,unknown,1,0.0,1.0,4473.643406282875
54,44404,44404,44405,7766077,no,1199,no,no,cellular,44405,44405,4,aug,178,1,1,1,7766077,38,management,married,tertiary,4348.107276,44405,44405,success,yes,1,0.0,1.0,4348.107276
327,42294,42294,42295,8440249,no,1276,no,no,cellular,42295,42295,16,nov,146,1,94,2,8440249,37,management,married,tertiary,3301.106591020842,42295,42295,success,unknown,1,0.0,1.0,3301.106591020842
429,43737,43737,43738,9905816,no,1276,no,no,cellular,43738,43738,17,may,272,2,182,3,9905816,38,management,married,tertiary,3093.356308523328,43738,43738,success,unknown,1,0.0,1.0,3093.356308523328
1541,45035,45035,45036,6956142,no,3676,no,no,cellular,45036,45036,18,oct,567,1,95,3,6956142,47,admin.,married,secondary,2050.783632144464,45036,45036,success,yes,1,0.0,1.0,2050.783632144464
3315,11269,11269,11270,2577534,no,1880,no,no,unknown,11270,11270,18,jun,64,2,-1,0,2577534,47,unknown,married,unknown,1403.3852212001527,11270,11270,unknown,unknown,1,0.0,1.0,1403.3852212001527
3804,10394,10394,10395,6894765,no,1317,no,no,unknown,10395,10395,12,jun,58,1,-1,0,6894765,52,unknown,married,unknown,1314.7354632585923,10395,10395,unknown,no,1,0.0,1.0,1314.7354632585923
3902,9235,9235,9236,2731942,no,1347,no,no,unknown,9236,9236,5,jun,92,2,-1,0,2731942,53,unknown,married,unknown,1301.2159792768673,9236,9236,unknown,unknown,1,0.0,1.0,1301.2159792768673
3982,44120,44120,44121,3125590,no,558,no,no,cellular,44121,44121,9,jul,464,1,683,6,3125590,50,unknown,married,unknown,1287.8384062149205,44121,44121,failure,yes,1,0.0,1.0,1287.8384062149205
4079,10867,10867,10868,1229654,no,1728,no,no,unknown,10868,10868,17,jun,98,1,-1,0,1229654,47,unknown,married,unknown,1274.3609794315612,10868,10868,unknown,unknown,1,0.0,1.0,1274.3609794315612
4868,19405,19405,19406,2067827,no,4535,no,no,cellular,19406,19406,6,aug,54,3,-1,0,2067827,34,unknown,married,unknown,1171.4476082252372,19406,19406,unknown,unknown,1,0.0,1.0,1171.4476082252372
5987,19045,19045,19046,9708653,no,5361,no,no,cellular,19046,19046,5,aug,607,3,-1,0,9708653,52,unknown,married,unknown,1046.8958170314206,19046,19046,unknown,unknown,1,0.0,1.0,1046.8958170314206
8024,9894,9894,9895,9784837,no,1699,no,no,unknown,9895,9895,9,jun,63,1,-1,0,9784837,37,unknown,married,unknown,885.9831318405778,9895,9895,unknown,no,1,0.0,1.0,885.9831318405778
9617,44970,44970,44971,1862195,no,326,no,no,cellular,44971,44971,11,oct,450,1,231,1,1862195,28,unknown,single,unknown,790.4145406,44971,44971,success,unknown,1,0.0,1.0,790.4145406
10286,28075,28075,28076,3884699,no,549,no,no,telephone,28076,28076,28,jan,74,2,-1,0,3884699,53,unknown,married,unknown,755.0191034321065,28076,28076,unknown,unknown,1,0.0,1.0,755.0191034321065
0,43254,43254,43255,1028474,no,158,no,no,cellular,43255,43255,9,mar,212,3,181,6,1028474,34,management,married,tertiary,5555.992794972895,43255,43255,success,unknown,1,0.01,0.99,5500.432867023166
9,42491,42491,42492,1607730,no,925,no,no,cellular,42492,42492,14,dec,321,3,189,4,1607730,36,management,married,tertiary,5078.448588124186,42492,42492,success,yes,1,0.01,0.99,5027.664102242944
279,45006,45006,45007,2926555,no,413,no,no,cellular,45007,45007,13,oct,252,2,183,3,2926555,38,management,married,tertiary,3466.4219368761646,45007,45007,success,unknown,1,0.01,0.99,3431.757717507403
389,43889,43889,43890,9532345,no,158,no,no,cellular,43890,43890,9,jun,190,1,92,9,9532345,34,management,married,tertiary,3223.980146289632,43890,43890,success,unknown,1,0.01,0.99,3191.740344826736
989,45083,45083,45084,6603593,no,496,no,no,cellular,45084,45084,22,oct,738,3,183,1,6603593,59,entrepreneur,married,secondary,2445.4675597853825,45084,45084,success,unknown,1,0.01,0.99,2421.0128841875285
3419,9002,9002,9003,6857159,no,3940,no,no,unknown,9003,9003,5,jun,48,2,-1,0,6857159,59,unknown,married,unknown,1395.8557364081564,9003,9003,unknown,no,1,0.01,0.99,1381.8971790440748
3870,18079,18079,18080,6424124,no,779,no,no,cellular,18080,18080,30,jul,647,10,-1,0,6424124,41,unknown,married,unknown,1318.9624240413184,18080,18080,unknown,unknown,1,0.01,0.99,1305.7727998009052
4805,17845,17845,17846,5468836,no,1032,no,no,telephone,17846,17846,29,jul,225,4,-1,0,5468836,56,unknown,married,unknown,1189.4410872327865,17846,17846,unknown,unknown,1,0.01,0.99,1177.5466763604586
4905,10635,10635,10636,3868944,no,3940,no,no,unknown,10636,10636,16,jun,298,6,-1,0,3868944,48,unknown,married,unknown,1178.175030968306,10636,10636,unknown,unknown,1,0.01,0.99,1166.3932806586229
6169,18849,18849,18850,5696990,no,1571,no,no,cellular,18850,18850,4,aug,164,1,-1,0,5696990,52,unknown,married,unknown,1039.6571850478176,18850,18850,unknown,unknown,1,0.01,0.99,1029.2606131973394
7513,44748,44748,44749,5448776,no,1978,no,no,cellular,44749,44749,9,sep,404,1,182,1,5448776,37,unemployed,married,secondary,932.8688547669208,44749,44749,success,yes,1,0.01,0.99,923.5401662192515
7694,11747,11747,11748,7247842,no,1517,no,no,unknown,11748,11748,20,jun,45,1,-1,0,7247842,43,unknown,married,unknown,919.2491965601072,11748,11748,unknown,unknown,1,0.01,0.99,910.056704594506
9136,42090,42090,42091,9638345,no,1585,no,no,telephone,42091,42091,30,oct,152,4,-1,0,9638345,51,unknown,married,unknown,826.5388996035182,42091,42091,unknown,unknown,1,0.01,0.99,818.2735106
9593,41723,41723,41724,2106022,no,895,no,no,cellular,41724,41724,7,oct,335,1,-1,0,2106022,54,unknown,married,unknown,799.6843517642508,41724,41724,unknown,yes,1,0.01,0.99,791.6875082466082
10734,18844,18844,18845,9338144,no,1533,no,no,cellular,18845,18845,4,aug,157,1,-1,0,9338144,50,unknown,married,unknown,739.4153380738213,18845,18845,unknown,unknown,1,0.01,0.99,732.0211846930831
16,44214,44214,44215,7247329,no,0,no,no,cellular,44215,44215,16,jul,268,2,182,3,7247329,37,management,married,tertiary,4926.378887852547,44215,44215,success,yes,1,0.02,0.98,4827.851310095496
41,42861,42861,42862,8526001,no,238,no,no,cellular,42862,42862,3,feb,185,1,92,1,8526001,37,management,married,tertiary,4593.726384262469,42862,42862,success,yes,1,0.02,0.98,4501.851856577219
125,40730,40730,40731,9897052,no,2971,no,no,cellular,40731,40731,7,aug,158,2,95,6,9897052,35,entrepreneur,married,secondary,3988.204477626838,40731,40731,success,unknown,1,0.02,0.98,3908.440388074301
138,44744,44744,44745,1443593,no,494,no,no,cellular,44745,44745,9,sep,216,1,183,5,1443593,39,management,married,tertiary,3940.4461706058855,44745,44745,success,unknown,1,0.02,0.98,3861.637247193768
199,44406,44406,44407,9685884,no,3904,no,no,telephone,44407,44407,4,aug,250,2,187,2,9685884,63,entrepreneur,married,secondary,3724.577472680228,44407,44407,success,yes,1,0.02,0.98,3650.085923226624
209,43906,43906,43907,5258496,no,495,no,no,cellular,43907,43907,14,jun,187,1,94,9,5258496,36,management,married,tertiary,3686.036652482574,43907,43907,success,unknown,1,0.02,0.98,3612.3159194329214
223,41278,41278,41279,4932626,no,255,no,no,cellular,41279,41279,25,aug,242,6,95,4,4932626,36,management,married,tertiary,3643.88955,41279,41279,success,unknown,1,0.02,0.98,3571.0117591114845
251,41550,41550,41551,3778458,no,495,no,no,cellular,41551,41551,11,sep,91,1,37,5,3778458,36,management,married,tertiary,3561.049433734786,41551,41551,success,unknown,1,0.02,0.98,3489.828445
260,43285,43285,43286,7145295,no,495,no,no,cellular,43286,43286,12,mar,213,3,182,6,7145295,36,management,married,tertiary,3546.088564766158,43286,43286,success,yes,1,0.02,0.98,3475.166793470835
303,40651,40651,40652,2509393,no,495,no,no,cellular,40652,40652,5,aug,157,3,97,2,2509393,36,management,married,tertiary,3426.2602413012696,40652,40652,success,yes,1,0.02,0.98,3357.735036475244
306,42361,42361,42362,5475666,no,3576,no,no,cellular,42362,42362,25,nov,349,2,183,1,5475666,38,management,married,unknown,3421.0534174614827,42362,42362,success,yes,1,0.02,0.98,3352.632349112253
343,44436,44436,44437,2221557,no,437,no,no,cellular,44437,44437,5,aug,504,1,92,1,2221557,29,management,single,tertiary,3342.207673800712,44437,44437,success,yes,1,0.02,0.98,3275.3635203246977
375,45055,45055,45056,1566770,no,1519,no,no,cellular,45056,45056,19,oct,230,1,92,1,1566770,42,management,married,unknown,3278.765770596884,45056,45056,success,yes,1,0.02,0.98,3213.190455184946
423,42723,42723,42724,9981107,no,203,no,no,cellular,42724,42724,25,jan,255,1,88,1,9981107,36,management,married,tertiary,3164.813789072508,42724,42724,success,unknown,1,0.02,0.98,3101.5175132910576
424,44265,44265,44266,2722843,no,203,no,no,cellular,44266,44266,23,jul,608,3,179,2,2722843,36,management,married,tertiary,3164.2321941252862,44266,44266,success,unknown,1,0.02,0.98,3100.9475502427804
525,45073,45073,45074,6049432,no,203,no,no,cellular,45074,45074,21,oct,759,1,90,5,6049432,37,management,married,tertiary,2987.336837726382,45074,45074,success,unknown,1,0.02,0.98,2927.590100971854
568,45140,45140,45141,3561331,no,3904,no,no,telephone,45141,45141,8,nov,360,1,96,4,3561331,63,entrepreneur,married,secondary,2914.7065126865377,45141,45141,success,unknown,1,0.02,0.98,2856.412382432807
592,43606,43606,43607,5869644,no,238,no,no,cellular,43607,43607,4,may,131,1,90,2,5869644,38,management,married,tertiary,2877.146199981254,43607,43607,success,unknown,1,0.02,0.98,2819.603275981629
729,43139,43139,43140,4827348,no,255,no,no,cellular,43140,43140,24,feb,562,2,183,10,4827348,37,management,married,tertiary,2709.0376979523835,43140,43140,success,unknown,1,0.02,0.98,2654.856943993336
4283,12218,12218,12219,1703758,no,778,no,no,unknown,12219,12219,20,jun,32,4,-1,0,1703758,56,unknown,married,unknown,1268.5187242868426,12219,12219,unknown,unknown,1,0.02,0.98,1243.1483498011055
6822,22015,22015,22016,2562110,no,390,no,no,cellular,22016,22016,20,aug,68,5,-1,0,2562110,54,unknown,married,unknown,993.9983051997092,22016,22016,unknown,unknown,1,0.02,0.98,974.1183391
7207,19062,19062,19063,7405759,no,1547,no,no,telephone,19063,19063,5,aug,1186,4,-1,0,7405759,58,unknown,married,unknown,967.1958363009824,19063,19063,unknown,unknown,1,0.02,0.98,947.8519195749628
7774,40109,40109,40110,2743267,no,5003,no,no,telephone,40110,40110,4,jun,125,5,-1,0,2743267,60,unknown,married,unknown,922.2758473721196,40110,40110,unknown,unknown,1,0.02,0.98,903.8303304246772
9308,45031,45031,45032,1694998,no,1289,no,no,cellular,45032,45032,15,oct,1176,3,92,6,1694998,42,unemployed,married,secondary,824.7980907603893,45032,45032,success,unknown,1,0.02,0.98,808.3021289451815
10267,39953,39953,39954,7974733,no,978,no,no,cellular,39954,39954,3,jun,262,2,71,1,7974733,34,unemployed,married,secondary,771.3675602958584,39954,39954,success,unknown,1,0.02,0.98,755.9402090899413
10636,44029,44029,44030,3054517,no,978,no,no,cellular,44030,44030,29,jun,660,2,182,6,3054517,35,unemployed,married,secondary,751.3503819758766,44030,44030,success,unknown,1,0.02,0.98,736.3233743
14407,42579,42579,42580,3762990,no,978,no,no,cellular,42580,42580,29,dec,1370,3,209,3,3762990,35,unemployed,married,secondary,590.0147535479348,42580,42580,success,yes,1,0.02,0.98,578.2144584769761
3,43793,43793,43794,1591842,no,613,no,no,cellular,43794,43794,26,may,211,2,391,2,1591842,39,management,married,tertiary,5367.637836765062,43794,43794,success,unknown,1,0.03,0.97,5206.608702
5,29613,29613,29614,6603855,no,1331,no,no,cellular,29614,29614,3,feb,182,2,90,1,6603855,31,management,married,tertiary,5289.751342336444,29614,29614,success,unknown,1,0.03,0.97,5131.058802066351
7,33898,33898,33899,8864331,no,158,no,no,cellular,33899,33899,30,apr,169,2,83,2,8864331,33,management,married,tertiary,5234.842120096621,33899,33899,success,unknown,1,0.03,0.97,5077.796856493723
42,34047,34047,34048,3449233,no,613,no,no,cellular,34048,34048,30,apr,242,1,86,1,3449233,38,management,married,tertiary,4618.3688712622925,34048,34048,success,unknown,1,0.03,0.97,4479.817805124424
108,44912,44912,44913,6733706,no,390,no,no,cellular,44913,44913,29,sep,845,1,232,4,6733706,28,management,single,tertiary,4114.461775584221,44913,44913,success,unknown,1,0.03,0.97,3991.027922316694
112,34057,34057,34058,9548390,no,57,no,no,cellular,34058,34058,30,apr,96,2,84,1,9548390,37,management,married,tertiary,4103.427017,34058,34058,success,unknown,1,0.03,0.97,3980.324206364492
120,41585,41585,41586,2696776,no,362,no,no,cellular,41586,41586,15,sep,925,1,104,2,2696776,26,management,single,tertiary,4061.4620537901774,41586,41586,success,unknown,1,0.03,0.97,3939.618192176473
124,44083,44083,44084,9864083,no,560,no,no,cellular,44084,44084,6,jul,212,1,92,2,9864083,29,management,single,unknown,4031.881035108523,44084,44084,success,unknown,1,0.03,0.97,3910.924604055267
139,42499,42499,42500,5402431,no,572,no,no,cellular,42500,42500,16,dec,314,1,195,1,5402431,29,management,single,tertiary,3980.262655,42500,42500,success,yes,1,0.03,0.97,3860.854774954356
163,40490,40490,40491,2081687,no,2892,no,no,cellular,40491,40491,7,jul,407,1,385,1,2081687,48,management,married,secondary,3893.476337590736,40491,40491,success,unknown,1,0.03,0.97,3776.6720474630138
271,29183,29183,29184,3908201,no,82,no,no,cellular,29184,29184,2,feb,124,1,178,4,3908201,36,management,married,tertiary,3547.6497070384016,29184,29184,success,unknown,1,0.03,0.97,3441.2202158272494
540,41586,41586,41587,1711849,no,1323,no,no,cellular,41587,41587,15,sep,109,2,106,1,1711849,33,management,married,tertiary,2999.298880255033,41587,41587,success,unknown,1,0.03,0.97,2909.319913847382
608,33961,33961,33962,6573033,no,1331,no,no,cellular,33962,33962,30,apr,297,1,86,3,6573033,31,management,married,tertiary,2891.2328944590417,33962,33962,success,yes,1,0.03,0.97,2804.4959076252703
623,42028,42028,42029,1071442,no,390,no,no,cellular,42029,42029,28,oct,190,1,82,1,1071442,27,management,single,tertiary,2865.4791352260577,42029,42029,success,no,1,0.03,0.97,2779.514761169276
672,43797,43797,43798,1804914,no,2149,yes,no,cellular,43798,43798,26,may,135,2,90,11,1804914,66,management,married,unknown,2802.590951665953,43798,43798,success,unknown,1,0.03,0.97,2718.5132231159746
2495,13000,13000,13001,8055556,no,1926,no,no,telephone,13001,13001,7,jul,89,13,-1,0,8055556,43,unknown,married,secondary,1674.1515071370577,13001,13001,unknown,unknown,1,0.03,0.97,1623.926961922946
2732,41542,41542,41543,4896191,no,0,no,no,cellular,41543,41543,11,sep,260,3,95,3,4896191,38,unknown,single,tertiary,1605.7350484805197,41543,41543,success,yes,1,0.03,0.97,1557.562997026104
