Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-10-02 08:01:00,172.19,173.0,171.71,172.89,2183
2023-10-02 08:02:00,172.77,172.91,172.73,172.9,1436
2023-10-02 08:03:00,172.84,172.93,172.79,172.84,475
2023-10-02 08:04:00,172.81,172.86,172.77,172.84,769
2023-10-02 08:05:00,172.84,172.9,172.84,172.9,2000
2023-10-02 08:06:00,172.87,172.94,172.87,172.94,911
2023-10-02 08:07:00,172.91,172.91,172.84,172.85,129
2023-10-02 08:08:00,172.85,172.91,172.84,172.89,70
2023-10-02 08:09:00,172.89,172.89,172.83,172.85,327
2023-10-02 08:10:00,172.84,172.85,172.79,172.82,276
2023-10-02 08:11:00,172.82,172.82,172.79,172.8,121
2023-10-02 08:12:00,172.8,172.8,172.79,172.8,275
2023-10-02 08:13:00,172.8,172.83,172.79,172.82,254
2023-10-02 08:14:00,172.79,172.79,172.7,172.73,815
2023-10-02 08:15:00,172.72,172.72,172.52,172.61,2782
2023-10-02 08:16:00,172.53,172.56,172.4,172.41,5868
2023-10-02 08:17:00,172.44,172.44,172.33,172.33,17
2023-10-02 08:18:00,172.33,172.47,172.33,172.47,3
2023-10-02 08:19:00,172.46,172.55,172.46,172.55,364
2023-10-02 08:20:00,172.47,172.47,172.47,172.47,4
2023-10-02 08:21:00,172.47,172.47,172.42,172.46,106
2023-10-02 08:22:00,172.46,172.55,172.46,172.55,374
2023-10-02 08:23:00,172.44,172.47,172.44,172.47,18
2023-10-02 08:25:00,172.54,172.54,172.54,172.54,32
2023-10-02 08:26:00,172.54,172.58,172.54,172.58,72
2023-10-02 08:27:00,172.54,172.55,172.54,172.54,283
2023-10-02 08:28:00,172.54,172.54,172.52,172.52,582
2023-10-02 08:29:00,172.51,172.59,172.51,172.59,328
2023-10-02 08:30:00,172.59,172.59,172.51,172.54,111
2023-10-02 08:31:00,172.55,172.59,172.53,172.53,242
2023-10-02 08:32:00,172.57,172.57,172.57,172.57,2
2023-10-02 08:33:00,172.57,172.57,172.57,172.57,79
2023-10-02 08:34:00,172.57,172.57,172.53,172.53,170
2023-10-02 08:35:00,172.55,172.59,172.55,172.59,360
2023-10-02 08:36:00,172.59,172.67,172.56,172.67,474
2023-10-02 08:38:00,172.65,172.67,172.64,172.65,23
2023-10-02 08:39:00,172.66,172.67,172.65,172.66,137
2023-10-02 08:40:00,172.65,172.65,172.65,172.65,28
2023-10-02 08:41:00,172.66,172.67,172.65,172.65,122
2023-10-02 08:42:00,172.65,172.67,172.65,172.67,6
2023-10-02 08:43:00,172.65,172.65,172.59,172.65,502
2023-10-02 08:44:00,172.66,172.68,172.65,172.65,594
2023-10-02 08:45:00,172.65,172.67,172.61,172.61,322
2023-10-02 08:46:00,172.61,172.73,172.61,172.73,4108
2023-10-02 08:47:00,172.72,172.72,172.71,172.71,4
2023-10-02 08:48:00,172.72,172.73,172.67,172.73,17
2023-10-02 08:49:00,172.72,172.78,172.71,172.74,1610
2023-10-02 08:50:00,172.76,172.76,172.76,172.76,1
2023-10-02 08:51:00,172.76,172.76,172.74,172.74,13
2023-10-02 08:52:00,172.76,172.76,172.73,172.73,133
2023-10-02 08:53:00,172.74,172.74,172.64,172.65,810
2023-10-02 08:54:00,172.67,172.68,172.63,172.68,14
2023-10-02 08:55:00,172.68,172.68,172.68,172.68,3
2023-10-02 08:56:00,172.63,172.63,172.55,172.59,1517
2023-10-02 08:57:00,172.55,172.6,172.55,172.55,123
2023-10-02 08:58:00,172.65,172.65,172.63,172.63,3
2023-10-02 08:59:00,172.59,172.61,172.59,172.61,7
2023-10-02 09:00:00,172.55,172.57,172.5,172.51,1153
2023-10-02 09:01:00,172.52,172.52,172.5,172.51,227
2023-10-02 09:02:00,172.5,172.51,172.41,172.41,675
2023-10-02 09:03:00,172.5,172.5,172.41,172.42,221
2023-10-02 09:04:00,172.42,172.52,172.42,172.52,11
2023-10-02 09:05:00,172.47,172.47,172.37,172.38,1714
2023-10-02 09:06:00,172.35,172.35,172.2,172.25,2023
2023-10-02 09:07:00,172.31,172.31,172.1,172.25,279
2023-10-02 09:08:00,172.2,172.34,172.2,172.31,421
2023-10-02 09:09:00,172.24,172.3,172.19,172.2,931
2023-10-02 09:10:00,172.2,172.22,172.2,172.22,29
2023-10-02 09:11:00,172.3,172.39,172.3,172.39,19
2023-10-02 09:12:00,172.28,172.32,172.23,172.24,5407
2023-10-02 09:13:00,172.36,172.36,172.24,172.24,117
2023-10-02 09:14:00,172.31,172.31,172.24,172.3,14
2023-10-02 09:15:00,172.32,172.32,172.32,172.32,6
2023-10-02 09:16:00,172.3,172.3,171.9,172.0,9931
2023-10-02 09:17:00,171.99,172.1,171.97,171.99,7888
2023-10-02 09:18:00,171.99,171.99,171.99,171.99,1
2023-10-02 09:19:00,172.0,172.0,171.96,171.96,136
2023-10-02 09:20:00,171.99,171.99,171.94,171.99,30
2023-10-02 09:21:00,171.96,172.0,171.96,172.0,16
2023-10-02 09:22:00,172.06,172.09,172.06,172.08,300
2023-10-02 09:23:00,172.07,172.07,172.05,172.07,172
2023-10-02 09:24:00,172.07,172.1,172.06,172.1,129
2023-10-02 09:25:00,172.09,172.09,172.05,172.07,28
2023-10-02 09:26:00,172.08,172.09,172.06,172.09,380
2023-10-02 09:27:00,172.09,172.09,172.0,172.0,214
2023-10-02 09:28:00,172.0,172.0,171.91,171.91,210
2023-10-02 09:29:00,172.0,172.02,171.95,171.95,13
2023-10-02 09:30:00,171.92,172.0,171.9,172.0,1083
2023-10-02 09:31:00,171.98,172.01,171.96,172.01,779
2023-10-02 09:32:00,172.06,172.09,172.06,172.09,155
2023-10-02 09:33:00,172.04,172.09,172.02,172.08,258
2023-10-02 09:34:00,172.08,172.29,172.08,172.29,704
2023-10-02 09:35:00,172.2,172.26,172.14,172.19,1302
2023-10-02 09:36:00,172.19,172.2,172.1,172.16,316
2023-10-02 09:37:00,172.08,172.16,172.03,172.04,484
2023-10-02 09:38:00,172.05,172.12,172.04,172.12,436
2023-10-02 09:39:00,172.13,172.13,172.1,172.1,8
2023-10-02 09:40:00,172.08,172.08,172.05,172.08,16
2023-10-02 09:41:00,172.04,172.04,171.55,172.0,885
2023-10-02 09:42:00,172.0,172.08,172.0,172.01,36
2023-10-02 09:43:00,172.01,172.04,172.0,172.04,234
2023-10-02 09:44:00,172.06,172.08,172.06,172.08,200
2023-10-02 09:45:00,172.08,172.09,172.03,172.03,1251
2023-10-02 09:46:00,172.07,172.07,172.0,172.01,955
2023-10-02 09:47:00,172.12,172.14,172.05,172.06,546
2023-10-02 09:48:00,172.01,172.03,171.72,171.81,1673
2023-10-02 09:49:00,171.73,171.82,171.5,171.68,6668
2023-10-02 09:50:00,171.68,171.82,171.54,171.54,389
2023-10-02 09:51:00,171.62,171.7,171.37,171.7,1147
2023-10-02 09:52:00,171.71,171.79,171.6,171.72,1079
2023-10-02 09:53:00,171.7,171.7,171.57,171.57,485
2023-10-02 09:54:00,171.6,171.6,171.48,171.48,1065
2023-10-02 09:55:00,171.6,171.68,171.51,171.51,766
2023-10-02 09:56:00,171.62,171.62,171.5,171.5,7523
2023-10-02 09:57:00,171.49,171.5,171.47,171.47,677
2023-10-02 09:58:00,171.42,171.44,171.35,171.35,2860
2023-10-02 09:59:00,171.44,171.44,171.3,171.3,880
2023-10-02 10:00:00,171.3,171.4,171.3,171.38,887
2023-10-02 10:01:00,171.38,171.4,171.33,171.35,36
2023-10-02 10:02:00,171.38,171.47,171.35,171.46,713
2023-10-02 10:03:00,171.41,171.45,171.4,171.45,380
2023-10-02 10:04:00,171.42,171.6,171.36,171.6,1158
2023-10-02 10:05:00,171.52,171.56,171.45,171.56,854
2023-10-02 10:06:00,171.54,171.55,171.5,171.51,430
2023-10-02 10:07:00,171.63,171.66,171.6,171.66,462
2023-10-02 10:08:00,171.66,171.67,171.66,171.67,54
2023-10-02 10:09:00,171.61,171.66,171.61,171.66,39
2023-10-02 10:10:00,171.61,171.65,171.49,171.49,690
2023-10-02 10:11:00,171.52,171.52,171.49,171.49,17
2023-10-02 10:12:00,171.5,171.5,171.25,171.33,787
2023-10-02 10:13:00,171.27,171.33,171.03,171.13,2699
2023-10-02 10:14:00,171.11,171.13,171.1,171.13,132
2023-10-02 10:15:00,171.16,171.3,171.16,171.3,65
2023-10-02 10:16:00,171.3,171.3,171.23,171.23,20
2023-10-02 10:17:00,171.32,171.52,171.27,171.48,555
2023-10-02 10:18:00,171.48,171.5,171.45,171.45,307
2023-10-02 10:19:00,171.48,171.49,171.45,171.48,110
2023-10-02 10:20:00,171.5,171.63,171.48,171.63,580
2023-10-02 10:21:00,171.61,171.61,171.54,171.61,282
2023-10-02 10:22:00,171.61,171.68,171.61,171.61,572
2023-10-02 10:23:00,171.67,171.67,171.67,171.67,2
2023-10-02 10:24:00,171.62,171.65,171.54,171.63,1197
2023-10-02 10:25:00,171.61,171.65,171.61,171.65,10
2023-10-02 10:26:00,171.62,171.62,171.62,171.62,1
2023-10-02 10:27:00,171.62,171.62,171.57,171.57,440
