Instrument,Date,P/E (Daily Time Series Ratio)
AAPL.O,2023-01-03T00:00:00Z,20.496222612
AAPL.O,2023-01-04T00:00:00Z,20.707625244
AAPL.O,2023-01-05T00:00:00Z,20.488028711
AAPL.O,2023-01-06T00:00:00Z,21.241867554
AAPL.O,2023-01-09T00:00:00Z,21.328722899
AAPL.O,2023-01-10T00:00:00Z,21.423772144
AAPL.O,2023-01-11T00:00:00Z,21.876075449
AAPL.O,2023-01-12T00:00:00Z,21.862965209
AAPL.O,2023-01-13T00:00:00Z,22.084200521
AAPL.O,2023-01-17T00:00:00Z,22.277576572
AAPL.O,2023-01-18T00:00:00Z,22.157945625
AAPL.O,2023-01-19T00:00:00Z,22.167778306
AAPL.O,2023-01-20T00:00:00Z,22.59386113
AAPL.O,2023-01-23T00:00:00Z,23.12482588
AAPL.O,2023-01-24T00:00:00Z,23.357532653
AAPL.O,2023-01-25T00:00:00Z,23.247734387
AAPL.O,2023-01-26T00:00:00Z,23.591878206
AAPL.O,2023-01-27T00:00:00Z,23.914717884
AAPL.O,2023-01-30T00:00:00Z,23.434555317
AAPL.O,2023-01-31T00:00:00Z,23.645957949
AAPL.O,2023-02-01T00:00:00Z,23.832778879
AAPL.O,2023-02-02T00:00:00Z,24.716081349
AAPL.O,2023-02-03T00:00:00Z,25.319152423
AAPL.O,2023-02-06T00:00:00Z,25.778818317
AAPL.O,2023-02-07T00:00:00Z,26.274924225
AAPL.O,2023-02-08T00:00:00Z,25.81109918
AAPL.O,2023-02-09T00:00:00Z,25.632704933
AAPL.O,2023-02-10T00:00:00Z,25.656490832
AAPL.O,2023-02-13T00:00:00Z,26.139004798
AAPL.O,2023-02-14T00:00:00Z,26.028570264
AAPL.O,2023-02-15T00:00:00Z,26.390455738
AAPL.O,2023-02-16T00:00:00Z,26.115218898
AAPL.O,2023-02-17T00:00:00Z,25.918135729
AAPL.O,2023-02-21T00:00:00Z,25.226645644
AAPL.O,2023-02-22T00:00:00Z,25.299702336
AAPL.O,2023-02-23T00:00:00Z,25.382952985
AAPL.O,2023-02-24T00:00:00Z,24.925923912
AAPL.O,2023-02-27T00:00:00Z,25.131502046
AAPL.O,2023-02-28T00:00:00Z,25.044853411
AAPL.O,2023-03-01T00:00:00Z,24.688064915
AAPL.O,2023-03-02T00:00:00Z,24.790004485
AAPL.O,2023-03-03T00:00:00Z,25.659888818
AAPL.O,2023-03-06T00:00:00Z,26.135606812
AAPL.O,2023-03-07T00:00:00Z,25.75673141
AAPL.O,2023-03-08T00:00:00Z,25.9725035
AAPL.O,2023-03-09T00:00:00Z,25.585133133
AAPL.O,2023-03-10T00:00:00Z,25.23004363
AAPL.O,2023-03-13T00:00:00Z,25.564745219
AAPL.O,2023-03-14T00:00:00Z,25.9249317
AAPL.O,2023-03-15T00:00:00Z,25.992891414
AAPL.O,2023-03-16T00:00:00Z,26.478803365
AAPL.O,2023-03-17T00:00:00Z,26.334388974
AAPL.O,2023-03-20T00:00:00Z,26.742147255
AAPL.O,2023-03-21T00:00:00Z,27.061557908
AAPL.O,2023-03-22T00:00:00Z,26.815203947
AAPL.O,2023-03-23T00:00:00Z,27.002093159
AAPL.O,2023-03-24T00:00:00Z,27.226360214
AAPL.O,2023-03-27T00:00:00Z,26.891658625
AAPL.O,2023-03-28T00:00:00Z,26.784622076
AAPL.O,2023-03-29T00:00:00Z,27.314707841
AAPL.O,2023-03-30T00:00:00Z,27.584847702
AAPL.O,2023-03-31T00:00:00Z,28.016391883
AAPL.O,2023-04-03T00:00:00Z,28.232163973
AAPL.O,2023-04-04T00:00:00Z,28.14041836
AAPL.O,2023-04-05T00:00:00Z,27.822706699
AAPL.O,2023-04-06T00:00:00Z,27.975616055
AAPL.O,2023-04-10T00:00:00Z,27.528780939
AAPL.O,2023-04-11T00:00:00Z,27.31980482
AAPL.O,2023-04-12T00:00:00Z,27.200875321
AAPL.O,2023-04-13T00:00:00Z,28.12852541
AAPL.O,2023-04-14T00:00:00Z,28.069060661
AAPL.O,2023-04-17T00:00:00Z,28.072458647
AAPL.O,2023-04-18T00:00:00Z,28.283133758
AAPL.O,2023-04-19T00:00:00Z,28.480216927
AAPL.O,2023-04-20T00:00:00Z,28.313715629
AAPL.O,2023-04-21T00:00:00Z,28.036779797
AAPL.O,2023-04-24T00:00:00Z,28.089448575
AAPL.O,2023-04-25T00:00:00Z,27.824405692
AAPL.O,2023-04-26T00:00:00Z,27.822706699
AAPL.O,2023-04-27T00:00:00Z,28.612738369
AAPL.O,2023-04-28T00:00:00Z,28.828510459
AAPL.O,2023-05-01T00:00:00Z,28.813219523
AAPL.O,2023-05-02T00:00:00Z,28.634825276
AAPL.O,2023-05-03T00:00:00Z,28.449635056
AAPL.O,2023-05-04T00:00:00Z,28.167602245
AAPL.O,2023-05-05T00:00:00Z,29.489418673
AAPL.O,2023-05-08T00:00:00Z,29.47812672
AAPL.O,2023-05-09T00:00:00Z,29.184194967
AAPL.O,2023-05-10T00:00:00Z,29.487471371
AAPL.O,2023-05-11T00:00:00Z,29.520602407
AAPL.O,2023-05-12T00:00:00Z,29.320117165
AAPL.O,2023-05-15T00:00:00Z,29.235165791
AAPL.O,2023-05-16T00:00:00Z,29.235165791
AAPL.O,2023-05-17T00:00:00Z,29.340505495
AAPL.O,2023-05-18T00:00:00Z,29.741475979
AAPL.O,2023-05-19T00:00:00Z,29.760165281
AAPL.O,2023-05-22T00:00:00Z,29.597058644
AAPL.O,2023-05-23T00:00:00Z,29.14851539
AAPL.O,2023-05-24T00:00:00Z,29.196088159
AAPL.O,2023-05-25T00:00:00Z,29.391476319
AAPL.O,2023-05-26T00:00:00Z,29.806039023
AAPL.O,2023-05-30T00:00:00Z,30.123757161
AAPL.O,2023-05-31T00:00:00Z,30.115262024
AAPL.O,2023-06-01T00:00:00Z,30.597785827
AAPL.O,2023-06-02T00:00:00Z,30.74390219
AAPL.O,2023-06-05T00:00:00Z,30.511135426
AAPL.O,2023-06-06T00:00:00Z,30.448271409
AAPL.O,2023-06-07T00:00:00Z,30.21210659
AAPL.O,2023-06-08T00:00:00Z,30.679339146
AAPL.O,2023-06-09T00:00:00Z,30.745601218
AAPL.O,2023-06-12T00:00:00Z,31.226425994
AAPL.O,2023-06-13T00:00:00Z,31.144872675
AAPL.O,2023-06-14T00:00:00Z,31.253610433
AAPL.O,2023-06-15T00:00:00Z,31.603610094
AAPL.O,2023-06-16T00:00:00Z,31.418416099
AAPL.O,2023-06-20T00:00:00Z,31.433707346
AAPL.O,2023-06-21T00:00:00Z,31.255309461
AAPL.O,2023-06-22T00:00:00Z,31.771813814
AAPL.O,2023-06-23T00:00:00Z,31.717444935
AAPL.O,2023-06-26T00:00:00Z,31.47788206
AAPL.O,2023-06-27T00:00:00Z,31.951910726
AAPL.O,2023-06-28T00:00:00Z,32.154094996
AAPL.O,2023-06-29T00:00:00Z,32.21186193
AAPL.O,2023-06-30T00:00:00Z,32.956035965
AAPL.O,2023-07-03T00:00:00Z,32.699482816
AAPL.O,2023-07-05T00:00:00Z,32.507492711
AAPL.O,2023-07-06T00:00:00Z,32.58904603
AAPL.O,2023-07-07T00:00:00Z,32.397055925
AAPL.O,2023-07-10T00:00:00Z,32.045357238
AAPL.O,2023-07-11T00:00:00Z,31.955308781
AAPL.O,2023-07-12T00:00:00Z,32.242444425
AAPL.O,2023-07-13T00:00:00Z,32.373269541
AAPL.O,2023-07-14T00:00:00Z,32.398754953
AAPL.O,2023-07-17T00:00:00Z,32.95943402
AAPL.O,2023-07-18T00:00:00Z,32.915259306
AAPL.O,2023-07-19T00:00:00Z,33.14802607
AAPL.O,2023-07-20T00:00:00Z,32.813317657
AAPL.O,2023-07-21T00:00:00Z,32.611133387
AAPL.O,2023-07-24T00:00:00Z,32.748754613
AAPL.O,2023-07-25T00:00:00Z,32.896570003
AAPL.O,2023-07-26T00:00:00Z,33.046084421
AAPL.O,2023-07-27T00:00:00Z,32.828608904
AAPL.O,2023-07-28T00:00:00Z,33.272055076
AAPL.O,2023-07-31T00:00:00Z,33.377394779
AAPL.O,2023-08-01T00:00:00Z,33.233826957
AAPL.O,2023-08-02T00:00:00Z,32.719871146
AAPL.O,2023-08-03T00:00:00Z,32.480308272
AAPL.O,2023-08-04T00:00:00Z,30.920601048
AAPL.O,2023-08-07T00:00:00Z,30.056449322
AAPL.O,2023-08-08T00:00:00Z,30.216100577
AAPL.O,2023-08-09T00:00:00Z,29.945533714
AAPL.O,2023-08-10T00:00:00Z,29.908561845
AAPL.O,2023-08-11T00:00:00Z,29.878312133
AAPL.O,2023-08-14T00:00:00Z,30.158962233
AAPL.O,2023-08-15T00:00:00Z,29.82117379
AAPL.O,2023-08-16T00:00:00Z,29.673286312
AAPL.O,2023-08-17T00:00:00Z,29.241387655
AAPL.O,2023-08-18T00:00:00Z,29.323734092
AAPL.O,2023-08-21T00:00:00Z,29.550606927
AAPL.O,2023-08-22T00:00:00Z,29.78420192
AAPL.O,2023-08-23T00:00:00Z,30.437931794
AAPL.O,2023-08-24T00:00:00Z,29.641356061
AAPL.O,2023-08-25T00:00:00Z,30.016116374
AAPL.O,2023-08-28T00:00:00Z,30.281641618
AAPL.O,2023-08-29T00:00:00Z,30.94209365
AAPL.O,2023-08-30T00:00:00Z,31.5353241
AAPL.O,2023-08-31T00:00:00Z,31.57229597
AAPL.O,2023-09-01T00:00:00Z,31.839501754
AAPL.O,2023-09-05T00:00:00Z,31.879834702
AAPL.O,2023-09-06T00:00:00Z,30.738748368
AAPL.O,2023-09-07T00:00:00Z,29.839659724
AAPL.O,2023-09-08T00:00:00Z,29.943853175
AAPL.O,2023-09-11T00:00:00Z,30.1421568380313
AAPL.O,2023-09-12T00:00:00Z,29.6279117447866
AAPL.O,2023-09-13T00:00:00Z,29.2766789850214
AAPL.O,2023-09-14T00:00:00Z,29.5338015316437
AAPL.O,2023-09-15T00:00:00Z,29.4111221466539
AAPL.O,2023-09-18T00:00:00Z,29.9085618446946
AAPL.O,2023-09-19T00:00:00Z,30.0934211919394
AAPL.O,2023-09-20T00:00:00Z,29.4917880436335
AAPL.O,2023-09-21T00:00:00Z,29.2296238784499
AAPL.O,2023-09-22T00:00:00Z,29.374150277205
AAPL.O,2023-09-25T00:00:00Z,29.5909398753376
AAPL.O,2023-09-26T00:00:00Z,28.8985575929296
AAPL.O,2023-09-27T00:00:00Z,28.6414350463073
AAPL.O,2023-09-28T00:00:00Z,28.6851290738379
AAPL.O,2023-09-29T00:00:00Z,28.7725171288991
AAPL.O,2023-10-02T00:00:00Z,29.1993741670826
AAPL.O,2023-10-03T00:00:00Z,28.9725013318276
AAPL.O,2023-10-04T00:00:00Z,29.1842493113989
AAPL.O,2023-10-05T00:00:00Z,29.3943167514499
AAPL.O,2023-10-06T00:00:00Z,29.827895947715
AAPL.O,2023-10-09T00:00:00Z,30.0799768757762
AAPL.O,2023-10-10T00:00:00Z,29.9791445045517
AAPL.O,2023-10-11T00:00:00Z,30.2161005769292
AAPL.O,2023-10-12T00:00:00Z,30.3690296732863
AAPL.O,2023-10-13T00:00:00Z,30.0564493224905
AAPL.O,2023-10-16T00:00:00Z,30.0346023087252
