Instrument,Date,P/E (Daily Time Series Ratio)
AMZN.O,2023-01-03T00:00:00Z,79.19750466
AMZN.O,2023-01-04T00:00:00Z,78.569978406
AMZN.O,2023-01-05T00:00:00Z,76.705856296
AMZN.O,2023-01-06T00:00:00Z,79.437441169
AMZN.O,2023-01-09T00:00:00Z,80.61866706
AMZN.O,2023-01-10T00:00:00Z,82.934977206
AMZN.O,2023-01-11T00:00:00Z,87.752164043
AMZN.O,2023-01-12T00:00:00Z,87.918273934
AMZN.O,2023-01-13T00:00:00Z,90.548347207
AMZN.O,2023-01-17T00:00:00Z,88.638083461
AMZN.O,2023-01-18T00:00:00Z,88.093612152
AMZN.O,2023-01-19T00:00:00Z,86.450969897
AMZN.O,2023-01-20T00:00:00Z,89.745482734
AMZN.O,2023-01-23T00:00:00Z,89.99464757
AMZN.O,2023-01-24T00:00:00Z,88.887248297
AMZN.O,2023-01-25T00:00:00Z,89.680884443
AMZN.O,2023-01-26T00:00:00Z,91.563463207
AMZN.O,2023-01-27T00:00:00Z,94.350418043
AMZN.O,2023-01-30T00:00:00Z,92.790830734
AMZN.O,2023-01-31T00:00:00Z,95.171739171
AMZN.O,2023-02-01T00:00:00Z,97.03586128
AMZN.O,2023-02-02T00:00:00Z,104.197043244
AMZN.O,2023-02-03T00:00:00Z,95.4116756796663
AMZN.O,2023-02-03T00:00:00Z,95.4116756796663
AMZN.O,2023-02-03T00:00:00Z,95.4116756796663
AMZN.O,2023-02-03T00:00:00Z,95.4116756796663
AMZN.O,2023-02-03T00:00:00Z,95.4116756796663
AMZN.O,2023-02-03T00:00:00Z,95.4116756796663
AMZN.O,2023-02-03T00:00:00Z,95.4116756796663
AMZN.O,2023-02-03T00:00:00Z,
AMZN.O,2023-02-03T00:00:00Z,
AMZN.O,2023-02-03T00:00:00Z,
AMZN.O,2023-02-03T00:00:00Z,
AMZN.O,2023-02-03T00:00:00Z,
AMZN.O,2023-02-03T00:00:00Z,
AMZN.O,2023-02-03T00:00:00Z,
AMZN.O,2023-02-03T00:00:00Z,
AMZN.O,2023-02-03T00:00:00Z,
AMZN.O,2023-02-03T00:00:00Z,
AMZN.O,2023-02-03T00:00:00Z,
AMZN.O,2023-02-03T00:00:00Z,
AMZN.O,2023-02-03T00:00:00Z,
AMZN.O,2023-02-03T00:00:00Z,
AMZN.O,2023-02-03T00:00:00Z,
AMZN.O,2023-02-03T00:00:00Z,
AMZN.O,2023-02-03T00:00:00Z,
AMZN.O,2023-02-03T00:00:00Z,
AMZN.O,2023-02-03T00:00:00Z,
AMZN.O,2023-02-03T00:00:00Z,
AMZN.O,2023-02-03T00:00:00Z,
AMZN.O,2023-02-03T00:00:00Z,
AMZN.O,2023-02-03T00:00:00Z,
AMZN.O,2023-02-03T00:00:00Z,
AMZN.O,2023-02-03T00:00:00Z,
AMZN.O,2023-02-03T00:00:00Z,
AMZN.O,2023-02-03T00:00:00Z,
AMZN.O,2023-02-03T00:00:00Z,
AMZN.O,2023-02-03T00:00:00Z,
AMZN.O,2023-02-03T00:00:00Z,
AMZN.O,2023-02-03T00:00:00Z,
AMZN.O,2023-02-03T00:00:00Z,
AMZN.O,2023-02-03T00:00:00Z,
AMZN.O,2023-02-03T00:00:00Z,
AMZN.O,2023-02-03T00:00:00Z,
AMZN.O,2023-02-03T00:00:00Z,
AMZN.O,2023-02-03T00:00:00Z,
AMZN.O,2023-02-03T00:00:00Z,
AMZN.O,2023-02-03T00:00:00Z,
AMZN.O,2023-02-03T00:00:00Z,
AMZN.O,2023-02-03T00:00:00Z,
AMZN.O,2023-02-03T00:00:00Z,
AMZN.O,2023-02-03T00:00:00Z,
AMZN.O,2023-02-03T00:00:00Z,
AMZN.O,2023-02-03T00:00:00Z,
AMZN.O,2023-02-03T00:00:00Z,
AMZN.O,2023-02-03T00:00:00Z,
AMZN.O,2023-02-03T00:00:00Z,
AMZN.O,2023-02-03T00:00:00Z,
AMZN.O,2023-02-03T00:00:00Z,
AMZN.O,2023-02-03T00:00:00Z,
AMZN.O,2023-02-03T00:00:00Z,
AMZN.O,2023-05-01T00:00:00Z,247.423930173
AMZN.O,2023-05-02T00:00:00Z,251.254697539
AMZN.O,2023-05-03T00:00:00Z,251.303188265
AMZN.O,2023-05-04T00:00:00Z,252.151775973
AMZN.O,2023-05-05T00:00:00Z,256.164383562
AMZN.O,2023-05-08T00:00:00Z,256.588677415
AMZN.O,2023-05-09T00:00:00Z,258.504061098
AMZN.O,2023-05-10T00:00:00Z,267.159655716
AMZN.O,2023-05-11T00:00:00Z,271.984482968
AMZN.O,2023-05-12T00:00:00Z,267.329373257
AMZN.O,2023-05-15T00:00:00Z,269.608437386
AMZN.O,2023-05-16T00:00:00Z,274.942417263
AMZN.O,2023-05-17T00:00:00Z,280.033943508
AMZN.O,2023-05-18T00:00:00Z,286.458964723
AMZN.O,2023-05-19T00:00:00Z,281.852345739
