Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2024-03-07 00:00:00,132.66,132.79,132.66,132.68,170
2024-03-07 00:01:00,132.68,132.8,132.66,132.8,519
2024-03-07 00:02:00,132.67,132.7,132.67,132.7,61
2024-03-07 00:03:00,132.76,132.76,132.715,132.715,11
2024-03-07 00:04:00,132.67,132.76,132.67,132.75,109
2024-03-07 00:06:00,132.74,132.76,132.7,132.73,11
2024-03-07 00:07:00,132.73,132.73,132.67,132.7,114
2024-03-07 00:08:00,132.72,132.76,132.68,132.71,376
2024-03-07 00:09:00,132.72,132.75,132.72,132.75,4
2024-03-07 00:10:00,132.75,132.8,132.74,132.8,122
2024-03-07 00:11:00,132.76,132.76,132.69,132.71,761
2024-03-07 00:12:00,132.7,132.7,132.68,132.68,95
2024-03-07 00:13:00,132.8,132.8,132.74,132.74,11
2024-03-07 00:14:00,132.681,132.8,132.681,132.71,262
2024-03-07 00:15:00,132.72,132.76,132.71,132.71,329
2024-03-07 00:16:00,132.71,132.71,132.71,132.71,116
2024-03-07 00:17:00,132.76,132.76,132.66,132.74,161
2024-03-07 00:18:00,132.74,132.74,132.66,132.7,49
2024-03-07 00:19:00,132.7,132.7,132.7,132.7,51
2024-03-07 00:20:00,132.74,132.75,132.51,132.51,720
2024-03-07 00:21:00,132.51,132.75,132.5,132.57,310
2024-03-07 00:22:00,132.57,132.71,132.29,132.29,1361
2024-03-07 00:23:00,132.3,132.5,132.3,132.3,322
2024-03-07 00:24:00,132.49,132.5,132.49,132.5,62
2024-03-07 00:25:00,132.49,132.49,132.34,132.35,571
2024-03-07 00:26:00,132.34,132.34,132.23,132.23,266
2024-03-07 00:27:00,132.3,132.59,132.21,132.59,119
2024-03-07 00:28:00,132.395,132.4,132.22,132.22,38
2024-03-07 00:29:00,132.405,132.52,132.395,132.395,19
2024-03-07 00:30:00,132.34,132.405,132.2,132.2,108
2024-03-07 00:31:00,132.31,132.61,132.1,132.57,1215
2024-03-07 00:32:00,132.2,132.48,132.11,132.39,356
