Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-10-02 08:01:00,128.02,128.88,128.02,128.36,2279
2023-10-02 08:02:00,128.43,128.48,128.42,128.43,392
2023-10-02 08:03:00,128.42,128.43,128.4,128.4,2451
2023-10-02 08:04:00,128.4,128.48,128.4,128.48,4491
2023-10-02 08:05:00,128.47,128.5,128.43,128.5,3903
2023-10-02 08:06:00,128.48,128.57,128.48,128.54,271
2023-10-02 08:07:00,128.54,128.54,128.44,128.51,778
2023-10-02 08:08:00,128.49,128.49,128.41,128.47,258
2023-10-02 08:09:00,128.42,128.56,128.42,128.55,3047
2023-10-02 08:10:00,128.56,128.57,128.5,128.56,1860
2023-10-02 08:11:00,128.52,128.56,128.52,128.56,371
2023-10-02 08:12:00,128.56,128.56,128.45,128.45,24
2023-10-02 08:13:00,128.56,128.56,128.45,128.45,11
2023-10-02 08:14:00,128.5,128.55,128.5,128.55,66
2023-10-02 08:15:00,128.55,128.55,128.45,128.54,139
2023-10-02 08:16:00,128.49,128.5,128.45,128.49,19
2023-10-02 08:17:00,128.45,128.45,128.44,128.44,34
2023-10-02 08:18:00,128.45,128.49,128.45,128.49,699
2023-10-02 08:19:00,128.49,128.51,128.44,128.48,1318
2023-10-02 08:20:00,128.48,128.5,128.42,128.5,765
2023-10-02 08:21:00,128.53,128.53,128.43,128.44,63
2023-10-02 08:22:00,128.5,128.52,128.46,128.5,298
2023-10-02 08:23:00,128.46,128.5,128.46,128.5,51
2023-10-02 08:24:00,128.48,128.48,128.46,128.47,1891
2023-10-02 08:25:00,128.51,128.52,128.51,128.52,100
2023-10-02 08:26:00,128.51,128.51,128.44,128.45,1054
2023-10-02 08:27:00,128.5,128.51,128.45,128.49,177
2023-10-02 08:28:00,128.49,128.49,128.44,128.46,556
2023-10-02 08:29:00,128.45,128.49,128.45,128.45,105
2023-10-02 08:30:00,128.47,128.49,128.45,128.45,39
2023-10-02 08:31:00,128.45,128.5,128.44,128.5,312
