Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-10-02 08:01:00,132.23,133.2,132.23,132.84,232
2023-10-02 08:02:00,132.72,132.79,132.72,132.79,4
2023-10-02 08:04:00,132.86,132.88,132.86,132.88,200
2023-10-02 08:05:00,132.88,133.03,132.88,133.03,480
2023-10-02 08:06:00,132.97,133.0,132.97,133.0,160
2023-10-02 08:07:00,132.88,132.89,132.78,132.89,64
2023-10-02 08:09:00,132.9,132.9,132.9,132.9,1
2023-10-02 08:11:00,132.75,132.76,132.75,132.76,5
2023-10-02 08:12:00,132.77,132.85,132.76,132.85,43
2023-10-02 08:14:00,132.85,132.85,132.85,132.85,8
2023-10-02 08:15:00,132.85,132.85,132.85,132.85,1
2023-10-02 08:16:00,132.76,132.76,132.76,132.76,197
2023-10-02 08:19:00,132.86,132.93,132.86,132.86,278
2023-10-02 08:22:00,132.96,133.0,132.96,133.0,198
2023-10-02 08:23:00,132.86,132.86,132.86,132.86,1
2023-10-02 08:25:00,132.88,132.88,132.88,132.88,5
2023-10-02 08:26:00,132.97,132.97,132.97,132.97,50
2023-10-02 08:27:00,133.0,133.0,132.98,132.98,134
2023-10-02 08:30:00,132.94,132.94,132.9,132.9,11
2023-10-02 08:31:00,132.94,132.96,132.94,132.96,51
2023-10-02 08:32:00,132.94,132.94,132.94,132.94,5
2023-10-02 08:33:00,132.89,132.89,132.89,132.89,50
2023-10-02 08:34:00,132.89,132.89,132.89,132.89,5
2023-10-02 08:35:00,132.96,132.96,132.96,132.96,34
2023-10-02 08:36:00,132.97,133.0,132.97,133.0,102
2023-10-02 08:38:00,132.94,132.94,132.94,132.94,20
2023-10-02 08:39:00,133.02,133.02,133.0,133.0,100
2023-10-02 08:41:00,132.91,132.99,132.87,132.99,220
2023-10-02 08:42:00,133.0,133.0,133.0,133.0,70
2023-10-02 08:44:00,133.0,133.07,132.96,132.96,207
2023-10-02 08:45:00,133.04,133.04,132.96,132.96,9
2023-10-02 08:46:00,132.9,132.93,132.85,132.86,1025
2023-10-02 08:47:00,132.86,132.86,132.86,132.86,2
2023-10-02 08:52:00,132.91,132.91,132.86,132.86,40
2023-10-02 08:54:00,132.82,132.83,132.82,132.83,101
2023-10-02 08:55:00,132.82,132.82,132.82,132.82,50
2023-10-02 08:58:00,132.8,132.82,132.78,132.78,375
2023-10-02 09:00:00,132.71,132.71,132.71,132.71,1
2023-10-02 09:01:00,132.71,132.71,132.62,132.62,444
2023-10-02 09:02:00,132.61,132.61,132.55,132.6,501
2023-10-02 09:03:00,132.53,132.55,132.52,132.55,160
2023-10-02 09:04:00,132.55,132.55,132.55,132.55,1
2023-10-02 09:06:00,132.52,132.55,132.48,132.5,4057
2023-10-02 09:07:00,132.5,132.51,132.4,132.4,300
2023-10-02 09:09:00,132.41,132.49,132.35,132.49,467
2023-10-02 09:11:00,132.49,132.5,132.49,132.5,76
2023-10-02 09:12:00,132.52,132.58,132.5,132.58,1370
2023-10-02 09:13:00,132.57,132.57,132.54,132.55,533
2023-10-02 09:14:00,132.58,132.58,132.58,132.58,1
2023-10-02 09:15:00,132.58,132.62,132.58,132.62,623
2023-10-02 09:16:00,132.6,132.6,132.6,132.6,1
2023-10-02 09:19:00,132.6,132.6,132.6,132.6,1
2023-10-02 09:22:00,132.69,132.69,132.69,132.69,5
2023-10-02 09:27:00,132.63,132.66,132.63,132.63,74
2023-10-02 09:28:00,132.57,132.57,132.55,132.55,156
2023-10-02 09:29:00,132.52,132.52,132.52,132.52,10
2023-10-02 09:32:00,132.52,132.55,132.52,132.53,1091
2023-10-02 09:33:00,132.49,132.49,132.4,132.48,224
2023-10-02 09:35:00,132.5,132.5,132.46,132.46,156
2023-10-02 09:37:00,132.48,132.48,132.41,132.41,312
2023-10-02 09:38:00,132.47,132.47,132.36,132.36,312
2023-10-02 09:39:00,132.4,132.4,132.4,132.4,134
2023-10-02 09:41:00,132.38,132.39,132.33,132.37,197
2023-10-02 09:43:00,132.4,132.4,132.3,132.33,181
2023-10-02 09:45:00,132.32,132.32,132.25,132.3,195
2023-10-02 09:46:00,132.28,132.28,132.18,132.18,193
2023-10-02 09:47:00,132.23,132.23,132.17,132.17,160
2023-10-02 09:48:00,132.22,132.22,131.82,131.98,1260
2023-10-02 09:49:00,132.13,132.13,131.78,131.81,1087
2023-10-02 09:50:00,131.78,131.82,131.71,131.8,246
2023-10-02 09:51:00,131.8,131.89,131.51,131.86,1407
2023-10-02 09:52:00,131.86,131.96,131.76,131.82,615
2023-10-02 09:53:00,131.74,131.74,131.67,131.67,338
2023-10-02 09:54:00,131.75,131.75,131.56,131.56,724
2023-10-02 09:55:00,131.61,131.69,131.54,131.69,359
2023-10-02 09:57:00,131.73,131.73,131.73,131.73,162
2023-10-02 09:59:00,131.62,131.62,131.62,131.62,36
2023-10-02 10:02:00,131.82,131.82,131.82,131.82,14
2023-10-02 10:03:00,131.74,131.76,131.74,131.74,243
2023-10-02 10:04:00,131.74,131.74,131.61,131.61,705
2023-10-02 10:05:00,131.79,131.79,131.65,131.75,186
2023-10-02 10:06:00,131.8,131.85,131.7,131.7,582
2023-10-02 10:08:00,131.85,131.85,131.85,131.85,50
2023-10-02 10:09:00,131.84,131.84,131.77,131.77,60
2023-10-02 10:10:00,131.83,131.9,131.75,131.75,568
2023-10-02 10:11:00,131.85,131.85,131.85,131.85,1
2023-10-02 10:12:00,131.77,131.77,131.72,131.75,468
2023-10-02 10:13:00,131.7,131.7,131.33,131.44,1882
2023-10-02 10:14:00,131.51,131.51,131.51,131.51,20
2023-10-02 10:23:00,131.84,131.84,131.84,131.84,34
2023-10-02 10:25:00,131.84,131.85,131.84,131.85,372
2023-10-02 10:26:00,131.81,131.84,131.81,131.84,51
2023-10-02 10:27:00,131.75,131.75,131.67,131.67,256
2023-10-02 10:28:00,131.76,131.76,131.76,131.76,35
2023-10-02 10:29:00,131.75,131.75,131.59,131.59,315
2023-10-02 10:30:00,131.66,131.66,131.45,131.53,590
2023-10-02 10:33:00,131.65,131.65,131.47,131.57,564
2023-10-02 10:34:00,131.57,131.57,131.57,131.57,100
